City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,tyumen,57.1522,65.5272,-2.95,79,100,3.0,RU,1709154416
340,phan rang-thap cham,11.5667,108.9833,22.05,88,55,2.46,VN,1709154416
341,okhotsk,59.3833,143.3,-27.33,90,4,3.79,RU,1709154417
342,usinsk,65.9939,57.5281,-3.85,97,99,4.02,RU,1709154417
343,al ain city,24.1917,55.7606,20.79,52,0,3.09,AE,1709154417
344,choele choel,-39.2667,-65.6833,29.77,13,61,5.67,AR,1709154417
345,puerto quijarro,-17.7833,-57.7667,34.07,38,88,1.54,BO,1709154417
346,sosnovo-ozerskoye,52.5249,111.5418,-36.22,100,11,1.25,RU,1709154417
347,praia da vitoria,38.7333,-27.0667,15.98,81,42,3.95,PT,1709154418
348,myeik,12.4333,98.6,24.61,87,49,1.48,MM,1709154418
349,ellsworth,44.5434,-68.4195,9.93,97,100,10.8,US,1709154418
350,santa barbara,34.7333,-120.0343,18.89,61,0,4.12,US,1709154280
351,waterville,44.552,-69.6317,9.82,100,100,3.6,US,1709154419
352,summerside,46.3959,-63.7876,9.27,91,100,12.74,CA,1709154419
353,belmonte,-15.8631,-38.8828,27.0,81,78,3.68,BR,1709154419
354,diamantino,-14.4086,-56.4461,29.55,57,92,1.93,BR,1709154252
355,balabac,7.9868,117.0645,26.45,82,98,8.63,PH,1709154419
356,naantali,60.4674,22.0243,0.23,94,100,3.09,FI,1709154420
357,lethbridge,49.7,-112.8186,5.26,50,100,5.61,CA,1709154420
358,nadvoitsy,63.8667,34.3167,-2.39,86,100,4.42,RU,1709154420
359,panciu,45.9,27.0833,7.35,76,97,1.89,RO,1709154420
360,artesia,33.8658,-118.0831,25.5,62,0,4.63,US,1709154420
361,shingu,33.7333,135.9833,6.29,61,99,1.99,JP,1709154421
362,murzuq,25.9155,13.9184,18.0,24,62,5.66,LY,1709154421
363,lacombe,52.4668,-113.7353,-12.04,86,100,4.94,CA,1709154421
364,arab,34.3182,-86.4958,9.04,74,100,7.58,US,1709154421
365,zambezi,-13.5432,23.1047,21.0,75,77,2.83,ZM,1709154422
366,trujillo,-8.116,-79.03,23.98,78,0,6.17,PE,1709154307
367,afif,23.9065,42.9172,13.19,52,0,8.88,SA,1709154422
368,mount pearl,47.5166,-52.7813,6.85,85,100,4.02,CA,1709154422
